Collect    ,Time,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NO2+NO3,NH3_N ,NH3_N ,TKN  ,TKN  ,Tot P,Tot P,SO4   ,SO4   ,TDS,TDS,SS  ,SS  ,VSS ,VSS ,TURB,TURB,ALK,ALK,CL   ,F    ,TOC ,TOC ,Phenol,Phenol,CN   ,CN   ,CN-WAD,CN-WAD,FOG,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Mn Sol,Hg tot,Hg sol,Ni tot,Ni sol,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,o-Xylene,m- and/or p-Xylenes,Xylenes (total)
 date      ,collected,point,mg/L,Deg C,     ,mg/L,Qual Code, mg/L ,Qual Code, mg/L,Qual Code,mg/L,Qual Code, mg/L ,Qual Code,mg/L,Qual Code,mg/L,Qual Code,mg/L,Qual Code,NTU,Qual Code,mg/L,Qual Code,mg/L, mg/L,mg/L,Qual Code,ug/L,Qual Code, mg/L,Qual Code,mg/L,Qual Code,mg/L,Qual Code,alpha,beta,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L ,Qual Code, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,Qual Code,ug/L,ug/L, mg/L , mg/L ,Qual Code, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-09 00:00:00,955.0,WW_12,5.0,5.3,8.11,0.216,,<0.1,,1.12,,<0.1,,102.69,,780.0,,8.0,,1.0,,5.3,,265.0,,236.0,0.28,5.3,,<5,,<0.005,,<0.001,,,,2.3,2.7,130.0,11.2,<0.05,<0.02,0.041,0.039,0.08,0.09,<0.001,<0.001,92.0,91.0,0.006,<0.005,<6,,<0.005,<0.005,0.5,<0.1,<0.02,<0.02,43.0,42.0,0.094,0.063,,<0.2,,0.008,0.009,,0.006,0.005,0.002,0.002,<0.01,0.01,<2.5,,,,,,
2012-01-09 00:00:00,1020.0,WW_13,8.5,3.3,8.15,6.037,,0.14,,1.31,,0.39,,72.47,,664.0,,12.0,,2.0,,9.27,,237.0,,150.0,0.44,5.0,,<5,,0.005,,<0.001,,,,<1.80,2.9,340.0,6.8,<0.05,<0.02,0.043,0.04,0.11,0.12,<0.001,<0.001,84.0,81.0,<0.005,<0.005,<6,,<0.005,<0.005,0.6,<0.1,<0.02,<0.02,39.0,37.0,0.046,0.031,,<0.2,,<0.005,<0.005,,0.006,0.005,0.002,0.002,<0.01,0.01,<2.5,,,,,,
2012-01-09 00:00:00,1120.0,WW_78,11.5,8.6,7.73,8.345,,0.23,,1.91,,0.9,,74.95,,712.0,,6.0,,4.0,,4.53,,181.0,,226.0,1.0,4.2,,<5,,0.005,,0.0011,,,,<2.10,3.8,180.0,3.4,<0.05,<0.02,0.035,0.032,0.2,0.2,<0.001,<0.001,77.0,73.0,<0.005,<0.005,<6,,0.006,0.005,0.3,<0.1,<0.02,<0.02,30.0,28.0,0.042,0.042,,<0.2,,0.007,0.006,,0.009,<0.005,0.002,0.002,0.03,0.03,<2.5,,,,,,
2012-01-09 00:00:00,1150.0,WW_17,8.4,3.3,7.94,5.777,,0.14,,1.24,,0.41,,72.67,,656.0,,7.0,,1.0,,6.53,,241.0,,163.0,0.42,4.9,,<5,,<0.005,,<0.001,,,,2.4,2.4,310.0,4.8,<0.05,<0.02,0.042,0.038,0.11,0.11,<0.001,<0.001,86.0,82.0,<0.005,<0.005,<6,,<0.005,<0.005,0.4,<0.1,<0.02,<0.02,40.0,38.0,0.038,0.028,,<0.2,,<0.005,<0.005,,0.008,0.007,0.002,0.002,<0.01,0.01,<2.5,,,,,,
2012-01-09 00:00:00,1235.0,WW_19,8.2,4.3,7.77,6.462,,0.13,,1.4,,0.48,,76.95,,660.0,,7.0,,1.0,,7.53,,236.0,,171.0,0.54,4.9,,<5,,<0.005,,<0.001,,,,<1.80,3.6,580.0,5.4,<0.05,<0.02,0.04,0.037,0.13,0.13,<0.001,<0.001,86.0,83.0,<0.005,<0.005,<6,,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,38.0,37.0,0.038,0.026,,<0.2,,<0.005,<0.005,,0.006,<0.005,0.002,0.002,0.01,0.01,<2.5,,,,,,
2012-01-09 00:00:00,1320.0,WW_20,8.6,5.3,7.81,6.333,,0.1,,<1,,0.53,,77.3,,688.0,,7.0,,4.0,,5.14,,238.0,,175.0,0.52,4.7,,<5,,<0.005,,<0.001,,,,<2.00,5.8,490.0,4.3,<0.05,<0.02,0.041,0.039,0.13,0.13,<0.001,<0.001,85.0,84.0,<0.005,<0.005,<6,,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,38.0,38.0,0.031,0.024,,<0.2,,<0.005,<0.005,,0.006,0.005,0.002,0.002,0.02,0.01,<2.5,,,,,,
2012-01-09 00:00:00,820.0,WW_24,8.6,3.7,7.5,9.307,,0.19,,1.19,,1.43,,100.39,,740.0,,10.0,,4.0,,6.93,,199.0,,221.0,0.67,4.4,,<5,,0.005,,0.001,,,,<2.00,4.3,410.0,5.5,<0.05,<0.02,0.032,0.03,0.2,0.21,<0.001,<0.001,87.0,87.0,<0.005,<0.005,<6,,<0.005,<0.005,0.4,0.1,<0.02,<0.02,35.0,35.0,0.041,0.032,,<0.2,,0.006,0.005,,0.008,0.005,0.002,0.002,0.02,0.03,2.9,,,,,,
2012-01-09 00:00:00,850.0,WW_109,9.9,3.5,7.86,10.09,,0.21,,1.0,,1.5,,93.45,,738.0,,7.0,,1.0,,5.71,,199.0,,216.0,0.7,4.6,,<5,,0.005,,<0.001,,,,<1.90,4.3,460.0,4.7,<0.05,<0.02,0.034,0.031,0.22,0.23,<0.001,<0.001,86.0,85.0,<0.005,<0.005,<6,,<0.005,<0.005,0.4,<0.1,<0.02,<0.02,34.0,34.0,0.053,0.035,,<0.2,,0.006,0.005,,<0.005,0.006,0.002,0.002,0.03,0.03,<2.5,,,,,,
2012-01-09 00:00:00,930.0,WW_22,11.2,3.5,7.64,6.972,,0.1,,1.14,,0.76,,80.0,,674.0,,7.0,,4.0,,6.82,,231.0,,186.0,0.56,4.8,,<5,,<0.005,,<0.001,,,,<2.20,3.3,190.0,4.5,<0.05,<0.02,0.039,0.037,0.15,0.15,<0.001,<0.001,85.0,83.0,<0.005,<0.005,<6,,<0.005,<0.005,0.4,<0.1,<0.02,<0.02,37.0,36.0,0.032,0.022,,<0.2,,<0.005,<0.005,,0.006,0.006,0.002,0.002,0.01,0.02,<2.5,,,,,,
2012-01-09 00:00:00,1020.0,WW_23,10.0,3.8,7.6,6.657,,0.12,,1.2,,0.68,,79.74,,674.0,,7.0,,3.0,,5.78,,233.0,,187.0,0.53,4.8,,<5,,<0.005,,<0.001,,,,<2.20,3.2,180.0,4.9,<0.05,<0.02,0.04,0.038,0.14,0.14,<0.001,<0.001,86.0,84.0,<0.005,<0.005,<6,,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,38.0,37.0,0.04,0.03,,<0.2,,<0.005,<0.005,,<0.005,<0.005,0.002,0.002,0.01,0.02,<2.5,,,,,,
2012-01-09 00:00:00,1055.0,WW_29,12.1,3.9,7.9,6.392,,<0.1,,1.38,,0.49,,81.63,,714.0,,19.0,,6.0,,8.6,,231.0,,193.0,0.54,4.8,,<5,,<0.005,,<0.001,,,,<1.90,3.3,50.0,12.6,<0.05,<0.02,0.037,0.035,0.14,0.14,<0.001,<0.001,83.0,83.0,<0.005,<0.005,<6,,<0.005,<0.005,0.4,<0.1,<0.02,<0.02,37.0,36.0,0.123,0.102,,<0.2,,0.006,0.005,,0.006,0.006,0.002,0.002,0.02,0.01,<2.5,,,,,,
2012-01-09 00:00:00,1145.0,WW_91,10.1,3.2,7.87,6.705,,<0.1,,1.49,,0.5,,78.7,,650.0,,9.0,,4.0,,5.58,,230.0,,191.0,0.54,4.9,,<5,,0.006,,<0.001,,,,<2.00,2.2,190.0,9.6,<0.05,<0.02,0.039,0.037,0.14,0.14,<0.001,<0.001,86.0,84.0,<0.005,<0.005,<6,,<0.005,<0.005,0.4,<0.1,<0.02,<0.02,37.0,37.0,0.028,0.019,,<0.2,,0.007,<0.005,,<0.005,0.005,0.002,0.002,0.01,0.01,<2.5,,,,,,
2012-01-09 00:00:00,930.0,WW_80,10.1,8.8,7.29,9.932,G,<0.1,G,1.95,G,1.61,G,77.49,G,640.0,G,10.0,G,5.0,G,3.48,G,170.0,G,199.0,0.75,3.6,G,<5,G,<0.005,G,<0.001,G,,,<1.90,4.0,2300.0,7.4,<0.05,<0.02,0.027,0.026,0.2,0.21,<0.001,<0.001,73.0,71.0,<0.005,<0.005,<6,G,0.006,<0.005,0.2,0.1,<0.02,<0.02,29.0,27.0,0.07,0.047,,<0.2,,0.005,0.005,,0.005,<0.005,0.002,0.002,0.02,0.02,<2.5,,,,,,
2012-01-09 00:00:00,945.0,WW_18,10.3,7.8,7.65,9.183,G,<0.1,G,2.47,G,1.38,G,74.64,G,672.0,G,15.0,G,3.0,G,4.77,G,175.0,G,206.0,0.72,5.2,G,<5,G,<0.005,G,<0.001,G,,,<1.70,3.8,1300.0,21.2,<0.05,<0.02,0.029,0.026,0.19,0.19,<0.001,<0.001,74.0,71.0,<0.005,<0.005,<6,G,0.005,<0.005,0.5,0.1,<0.02,<0.02,29.0,28.0,0.078,0.019,,<0.2,,<0.005,<0.005,,<0.005,<0.005,0.002,0.002,0.01,0.02,<2.5,,,,,,
2012-01-09 00:00:00,1035.0,WW_90,13.6,2.5,8.07,0.296,G,<0.1,G,<1,G,<0.1,G,52.09,G,642.0,G,6.0,G,5.0,G,5.78,G,280.0,G,184.0,0.25,4.5,G,<5,G,<0.005,G,<0.001,G,,,<1.90,2.3,<10,6.5,<0.05,<0.02,0.054,0.052,<0.05,0.05,<0.001,<0.001,83.0,82.0,<0.005,<0.005,<6,G,<0.005,<0.005,0.5,0.1,<0.02,<0.02,37.0,37.0,0.067,0.068,,<0.2,,<0.005,<0.005,,0.005,0.005,0.002,0.002,<0.01,<0.01,<2.5,,,,,,
2012-01-09 00:00:00,1225.0,WW_111,10.0,9.4,7.83,14.999,G,0.29,G,2.44,G,2.67,G,74.17,G,652.0,G,64.0,G,8.0,G,3.13,G,186.0,G,156.0,0.76,6.2,G,<5,G,<0.005,G,0.001,G,,,<2.10,6.3,1300.0,20.0,<0.05,<0.02,0.043,0.033,0.17,0.17,<0.001,<0.001,86.0,79.0,<0.005,<0.005,<6,G,0.007,<0.005,1.9,<0.1,<0.02,<0.02,35.0,31.0,0.094,0.045,,<0.2,,0.005,<0.005,,0.005,0.005,0.002,0.002,0.03,0.03,<2.5,,,,,,
2012-01-09 00:00:00,1155.0,WW_89,9.5,11.6,7.57,14.637,,<0.1,,3.08,,2.97,,68.07,,590.0,,10.0,,8.0,,37.1,,181.0,,136.0,0.85,7.1,,<5,,0.005,,0.001,,,,<1.70,2.3,2200.0,4.2,<0.05,<0.02,0.03,0.029,0.21,0.22,<0.001,0.001,75.0,74.0,<0.005,<0.005,<6,,0.008,0.006,0.2,<0.1,<0.02,<0.02,30.0,29.0,0.024,0.016,,<0.2,,<0.005,<0.005,,<0.005,0.005,0.002,0.002,0.03,0.04,<2.5,,,,,,
2012-01-09 00:00:00,1205.0,WW_92,7.0,8.7,7.89,9.43,,0.84,,3.03,,1.12,,104.17,,686.0,X,11.0,,5.0,,6.48,,176.0,,187.0,0.92,4.9,,<5,,0.005,,0.0013,,<5,,,,40.0,1.3,<0.05,<0.02,0.023,0.02,0.21,0.2,<0.001,<0.001,74.0,70.0,<0.005,<0.005,<6,,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,28.0,26.0,0.046,N/A,Q,<0.2,,0.006,0.006,,0.006,0.008,0.002,0.002,0.02,0.03,,,,,,,
2012-01-17 00:00:00,1000.0,WW_106,7.6,5.5,7.26,4.517,,0.44,,1.53,,0.66,,55.87,,2310.0,,44.0,,12.0,,32.5,,141.0,,1255.0,0.33,2.7,,<5,,0.01,,0.0015,,,,<4.80,6.2,7000.0,13.1,<0.05,<0.02,0.072,0.064,0.08,0.11,<0.001,0.001,84.0,84.0,<0.005,<0.005,<6,,0.012,0.006,1.6,0.1,<0.02,<0.02,29.0,29.0,0.074,0.047,,<0.2,,0.006,<0.005,,<0.005,0.007,0.002,0.002,0.05,0.03,<2.5,,,,,,
2012-01-17 00:00:00,1030.0,WW_32,8.7,1.1,7.31,0.547,G,0.25,G,1.37,G,0.11,G,71.17,G,1394.0,G,34.0,G,12.0,G,23.5,G,202.0,G,675.0,0.21,3.2,G,<5,G,0.012,G,0.0013,G,,,<3.00,4.8,2100.0,0.5,<0.05,<0.02,0.052,0.046,0.06,0.08,0.001,<0.001,84.0,81.0,<0.005,<0.005,<6,G,0.007,<0.005,1.0,<0.1,<0.02,<0.02,35.0,34.0,0.124,0.078,,<0.2,,<0.005,<0.005,,<0.005,0.007,0.002,0.002,0.03,0.01,<2.5,,,,,,
2012-01-17 00:00:00,1115.0,WW_105,11.8,3.0,7.03,5.771,,0.12,,1.27,,0.5,,66.75,,826.0,,13.0,,6.0,,9.51,,213.0,,312.0,0.44,3.8,,<5,,<0.005,,<0.001,,,,<2.20,3.1,80.0,59.0,<0.05,<0.02,0.037,0.035,0.1,0.12,<0.001,<0.001,79.0,79.0,<0.005,<0.005,<6,,0.006,<0.005,0.3,<0.1,<0.02,<0.02,34.0,35.0,0.051,0.028,,<0.2,,<0.005,<0.005,,<0.005,0.007,0.002,0.002,0.01,0.01,<2.5,,,,,,
2012-01-17 00:00:00,1150.0,WW_104,6.5,1.6,7.21,2.982,,0.38,,1.52,,0.26,,59.98,,992.0,,34.0,,11.0,,30.4,,182.0,,579.0,0.3,3.4,,<5,,0.018,,0.0016,,,,<2.70,2.9,5100.0,35.5,<0.05,<0.02,0.047,0.04,0.07,0.09,<0.001,<0.001,73.0,73.0,0.005,<0.005,<6,,0.01,0.005,1.2,<0.1,<0.02,<0.02,29.0,29.0,0.106,0.067,,<0.2,,0.005,<0.005,,<0.005,0.005,0.002,0.002,0.04,0.02,<2.5,,,,,,
2012-01-17 00:00:00,930.0,WW_103,9.4,4.3,6.65,5.631,,0.47,,1.62,,0.75,,73.68,,1896.0,,42.0,,10.0,,31.7,,186.0,,1004.0,0.39,2.7,,<5,,0.017,,0.0023,,,,<4.10,3.2,2000.0,8.4,<0.05,<0.02,0.073,0.065,0.11,0.12,<0.001,0.001,97.0,96.0,<0.005,<0.005,<6,,0.01,0.006,1.4,<0.1,<0.02,<0.02,36.0,35.0,0.097,0.057,,<0.2,,0.005,<0.005,,<0.005,0.007,0.002,0.002,0.03,0.02,<2.5,,,,,,
2012-01-17 00:00:00,1000.0,WW_34,10.1,3.0,7.82,4.452,,0.37,,1.5,,0.55,,70.58,,1622.0,,29.0,,9.0,,21.7,,200.0,,866.0,0.36,3.0,,<5,,0.012,,0.0018,,,,<3.00,3.0,2900.0,24.0,<0.05,<0.02,0.06,0.054,0.09,0.11,<0.001,<0.001,88.0,90.0,<0.005,<0.005,<6,,0.008,0.005,1.0,<0.1,<0.02,<0.02,34.0,35.0,0.092,0.069,,<0.2,,0.005,<0.005,,<0.005,0.005,0.002,0.002,0.03,0.02,<2.5,,,,,,
2012-01-17 00:00:00,1035.0,WW_37,7.1,8.3,7.6,5.022,,1.13,,3.36,,1.08,,49.26,,1238.0,,12.0,,6.0,,2.86,,134.0,,612.0,0.58,3.7,,<5,,0.007,,0.0016,,<5,,,,12000.0,5.6,<0.05,<0.02,0.035,0.032,0.14,0.15,<0.001,<0.001,63.0,63.0,<0.005,<0.005,<6,,0.007,<0.005,0.3,<0.1,<0.02,<0.02,20.0,20.0,0.064,0.051,,<0.2,,0.006,0.005,,<0.005,0.005,0.002,0.002,0.04,0.03,,,,,,,
2012-01-17 00:00:00,1125.0,WW_73,6.3,8.9,7.16,6.988,,2.19,,4.66,,1.51,,53.05,,800.0,,10.0,,5.0,,5.52,,158.0,,329.0,0.76,4.4,,<5,,0.008,,0.0012,,<5,,,,2700.0,5.3,<0.05,<0.02,0.028,0.027,0.16,0.17,<0.001,0.001,62.0,63.0,<0.005,<0.005,<6,,0.006,0.005,0.2,0.1,<0.02,<0.02,22.0,23.0,0.033,0.033,,<0.2,,0.005,0.005,,<0.005,0.007,0.002,0.002,0.03,0.03,,,,,,,
2012-01-17 00:00:00,1205.0,WW_46,8.1,7.0,7.55,8.371,,0.63,,2.11,,1.32,,55.04,,982.0,,10.0,,3.0,,7.31,,155.0,,412.0,0.76,3.9,,<5,,0.005,,0.0023,,<5,,,,2000.0,23.6,<0.05,<0.02,0.031,0.028,0.15,0.16,<0.001,<0.001,64.0,64.0,<0.005,<0.005,<6,,0.009,0.005,0.3,<0.1,<0.02,<0.02,23.0,23.0,0.065,N/A,Q,<0.2,,0.007,0.007,,0.005,0.007,0.002,0.002,0.04,0.03,,,,,,,
2012-01-17 00:00:00,1010.0,WW_102,6.8,9.4,7.1,6.685,,1.01,,2.7,,1.18,,51.1,,880.0,,12.0,,5.0,,7.63,,134.0,,405.0,0.72,3.8,,<5,,0.009,,0.0013,,<5,,<2.20,3.2,7000.0,2.7,<0.05,<0.02,0.03,0.027,0.15,0.16,<0.001,<0.001,62.0,60.0,<0.005,<0.005,<6,,0.006,<0.005,0.3,<0.1,<0.02,<0.02,21.0,20.0,0.034,0.027,,<0.2,,0.005,0.005,,<0.005,0.007,0.002,0.002,0.04,0.03,<2.5,,,,,,
