Owner,NPDES Permit number,Outfall Number,Location,Size,Waterway,TARP Connection,Monitored or Unmonitored,TARP Connection
Skokie,ILM580036,2,Greenwood St &amp; McCormick Blvd (W),7',NSC,DS-M105W,M,DS-M105W
Chicago,IL0045012,184,Pulaski Rd (S),10.5',CSSC,TG-I8,M,TG-I8
Maywood,Not Permitted,NP,Lake St (Approx. 200' south of the bridge) (W),4.25',DPR,"DS-D21,25",M ,"DS-D21,25"
Chicago,IL0045012,21,Central Ave (5900 - 6100 North) (N),2.5',NBCR,DS-N07,M,DS-N07
Chicago,IL0045012,156,Union Ave (N),11.42' x 9.17',SBCR,DS-M38,M,DS-M38
Brookfield,ILM580032,4,Brookfield Ave (SE wing wall of the bridge) (E),2',SC,"DS-D39,42,46",M ,"DS-D39,42,46"
Blue Island,ILM580031,2,Irving Ave (West of Fulton Fulton & Chatham St),5',CSC,CDS-7,M ,CDS-7
Methodist Campground,Not Permitted,NP,Algonquin Rd (E),1.25',DPR,DS-D02,U,DS-D02
Mt. Prospect,Not Permitted,NP,William St. Bridge (N),7.6' x 4.8',Weller Creek,UDP-DS6 (K22),M,UDP-DS6 (K22)
Evanston,ILM580002,A04,Green Bay Rd &amp; McCormick (W )),9',NSC,DS-M109S,M ,DS-M109S
Chicago,IL0045012,19,Peterson Ave (W),1.25',NBCR,DS-N08,U,DS-N08
Park Ridge,ILM580014,6,Howard Street / Sibley Avenue (E),7',DPR,DS-D05,M,DS-D05
River Grove / Franklin Park,ILM580021 / ILM580029,001 / 002,Franklin St (W),10',DPR,DS-D15,M,DS-D15
Niles,ILM580035,1,East of Caldwell Ave at Main St ext.(W),5.5',NBCR,DS-N18,M,DS-N18
Chicago,IL0045012,206,Torrence Ave (134th & Brainard) (N),10' x 6',LCalR,CDS-20,M,CDS-20
Lyons,ILM580004,2,40th St ext. (40th St &amp; Haas) (E),3',DPR,DS-D48,M ,DS-D48
Calumet City,ILM580025,2,River Dr (N),2.25',LCalR,CDS-53,M ,CDS-53
Chicago,IL0045012,70,Logan Blvd (W),2 (14' x 8'),NBCR,DS-M79,M,DS-M79
Chicago,IL0045012,22,Linder Ave (W),18â€œ,NBCR,DS-N06,U,DS-N06
Chicago,IL0045012,17,Imlay St & Milwaukee (W),7',NBCR,DS-N10B,M,DS-N10B
Blue Island / Posen,ILM580031 / IL0043133,005 / 001,California Ave &amp; Edward St (S),4.5',CSC,CDS-6,M,CDS-6
Chicago,IL0045012,198,Iron St (50' Wof NW RAPS) (S)  corner of,12' x 12',SFSBCR,DS-M26,M,DS-M26
Harvey,ILM580020,1,144th St (W )),7.5',LCalR,CDS-41,M ,CDS-41
South Holland,Not Permitted,NP,152nd St (ext) West Structure No.2 (149th St) (W),2',LCalR,CDS-45,M,CDS-45
Chicago,IL0045012,-74 Storm,Fullerton Ave (E),12',NBCR,DS-M75,M,DS-M75
Schiller Park,ILM580013,1,South of Irving Park Rd (W),2.5',DPR,DS-D12I,M,DS-D12I
Chicago,IL0045012,188,Natchez Ave ext. (S),12' x 9.5',CSSC,DS-M08,M,DS-M08
River Grove,ILM580021,3,Herrick Ave (W),2.5',DPR,DS-D17,M,DS-D17
Niles,ILM580035,3,Dobson St and Nordica Ave (W),4',NBCR,DS-N16,M,DS-N16
Calumet City,ILM580025,7,Lincoln Ave (N),4',LCalR,CDS-55,M ,CDS-55
Chicago,IL0045012,3,North Shore Ave (E),3',NSC,DS-M97,M,DS-M97
Forest Park,ILM580019,2,Van Buren ext. in Concordia Cemetery (At C&NW Rail Rd) ,5.5',DPR,DS-D28,M ,DS-D28
River Grove,ILM580021,6,Lyndale/Palmer Ave (W),4',DPR,DS-D20I,M,DS-D20I
Stickney,ILM580023,1,Hiawatha Ave (Highland Ave ext.) (N),5',CSSC,DS-M09,M,DS-M09
Chicago,IL0045012,103,Fulton St & Canal St (W),2 ( 7' x 9.5'),NBCR,DS-M61A,M,DS-M61A
Maywood,ILM580022,1,Augusta St (W),2.75',DPR,"DS-D22,24,25",M ,"DS-D22,24,25"
Riverside,Not Permitted,NP,Olmstead Rd (N),2.25',DPR,"DS-D44,45",M,"DS-D44,45"
Riverside,ILM580015,12,Ogden Ave (Approx. 50' north of the bridge) (E),5',DPR,DS-D41,M,DS-D41
Chicago,IL0045012,82,North Ave (W),6',NBCR,TG-M71,M,TG-M71
Burnham,ILM580018,2,138th Pl. extended (N),3',GCalR,CDS-22,M ,CDS-22
Chicago,IL0045012,154,Normal Ave (S),16' x 12.83',SBCR,DS-M40,M,DS-M40
Dolton,ILM580017,3,Ellis Ave (N),7',LCalR,CDS-51,M,CDS-51
River Forest,ILM580024,3,Lake St (South of the bridge) (E),6.5',DPR,DS-D26,M,DS-D26
Riverdale,ILM580007,2,Penn Central RR &amp; Dearborn St ext. (Near 134th St) (ACME,3.5',LCalR,CDS-15-1,M,CDS-15-1
Chicago,IL0045012,83,North Ave (E),4.5',NBCR,DS-M70,M,DS-M70
Chicago,IL0045012,211,130th St (E),5.5',LCalR,CDS-14,M,CDS-14
Evanston,ILM580002,A08,Lake St (E),9',NSC,DS-M106E,U ,DS-M106E
Park Ridge,ILM580014,8,Devon Ave (E),3.5',DPR,DS-D07,M,DS-D07
Chicago,IL0045012,77,McLean Ave (W),9',NBCR,DS-M73,M,DS-M73
Riverside,ILM580015,9,Near Burling Rd (Library) (N),5.5',DPR,DS-D43,M,DS-D43
Lyons,ILM580004,1,Ogden Ave (SW wing wall of the bridge) (W),5.5',DPR,DS-D49,M ,DS-D49
Chicago,IL0045012,182,Lawndale Ave (N),7',CSSC,TG-M16,M,TG-M16
Chicago,IL0045012,66,Oakley Ave East Bank (E),2',NBCR,DS-M80,U,DS-M80
Chicago,IL0045012,64,Belmont Ave (W),7',NBCR,DS-M82,M,DS-M82
Riverdale,ILM580007,4,Union Ave P.S. (N),7',LCalR,CDS-42,M,CDS-42
Dixmoor,ILM580011,1,Ashland Ave (S),4.5',LCalR,CDS-39,M,CDS-39
Chicago,IL0045012,29,Kilbourn Ave & Bryn Mawr (N),7',NBCR,DS-N03,M,DS-N03
Mt. Prospect,Not Permitted,NP,E of Feehanville Rd (W),4',Feehanville Ditch,UDP-DS8 (K26),M ,UDP-DS8 (K26)
Chicago/ Calumet Park,ILM580016/IL0045012,001 / 218,Laflin Ave (N),17' x 13.6',CSC,CDS-10,M,CDS-10
Evanston,ILM580002,A10,Main St (E),1.75',NSC,DS-M104,U ,DS-M104
Maywood,ILM580022,5,1st Ave & Maple St (W),3',DPR,DS-D27I,M ,DS-D27I
Summit,ILM580033,2,Lawndale Ave (E),3',CSSC,TG-M05,M,TG-M05
Franklin Park,ILM580029,3,King Street (Elm St) (W )),2.5',DPR,DS-D14,U ,DS-D14
Chicago,IL0045012,143,14th St (E),8' x 6.75',SBCR,DS-M45,M,DS-M45
Chicago,IL0045012,238,Melrose St & North Rockwell St (W),4.5',NBCR,DS-M83,M,DS-M83
Park Ridge,ILM580014,7,Touhy Ave (E),8',DPR,DS-D06,M,DS-D06
Niles / Chicago,ILM580035 / IL0045012,008 / 236,6872 Touhy Ave  (Franks & Nieman) (W),5',NBCR,DS-N13R,M,DS-N13R
Des Plaines,ILM580026,2,Prairie Ave (River Rd & Thacker St (W),3' &amp; 4',DPR,DS-D01,M ,DS-D01
Mt. Prospect,Not Permitted,NP,Wa-Pella Ave (extended) (S),3.5',Weller Creek,UDP-DS3 (K14),M ,UDP-DS3 (K14)
South Holland,ILM580010,1,South Park Ave (N),1.75',LCalR,C-1,M,C-1
Chicago,IL0045012,166,Laflin St (N),2 Barrel (15' x 12'),SBCR,DS-M35,M,DS-M35
South Holland,ILM580010,3,State St. (Chicago &amp; Eastern R.R. Yard) (155th &amp; Woodlawn,2.5',LCalR,CDS-48,M,CDS-48
Burnham,ILM580018,3,East of 142nd St. extended and Mackinaw St. (E) ,5',GCalR,CDS-23,M,CDS-23
Mt. Prospect,Not Permitted,NP,E of Feehanville Rd (W),5',Feehanville Ditch,UDP-DS8 (K25-1&K25-2),M,UDP-DS8 (K25-1&K25-2)
Chicago,IL0045012,174,Rockwell St (N),10.67',CSSC,DS-M20,M,DS-M20
Maywood,Not Permitted,NP,Washington Blvd. (S. of the ashington Blvd. (S. of the bridge) (W) ,5',DPR,DS-D31,M ,DS-D31
Chicago,IL0045012,186,Cicero Ave (S),9' x 7.5',CSSC,TG-I5,M,TG-I5
Chicago,IL0045012,176,California Ave (S),15' x 15',CSSC,DS-M19,M,DS-M19
Chicago,IL0045012,140,Maxwell St (Maxwell & Lumber) (W),5',SBCR,DS-M47,M,DS-M47
Brookfield,ILM580032,1,30th St ext. (W )),2.5,SC,"DS-D37,38",M ,"DS-D37,38"
Chicago,IL0045012,93,Cortez St (W),3.5',NBCR,DS-M64,U,DS-M64
Harvey,ILM580020,4,Clinton St (W )),2',LCalR,CDS-43,M ,CDS-43
Chicago,IL0045012,24,"Forest Glen Ave (S), West of Cicero",6',NBCR,DS-N05,M,DS-N05
River Grove,ILM580021,2,Grand Ave (W),3',DPR,DS-D16,M,DS-D16
Riverside,Not Permitted,NP,Extended Forest Ave. (SE corner of Forest Ave &amp; 1st Ave),1.5',DPR,DS-D66,M,DS-D66
Burnham,ILM580018,1,Escanaba Ave near 138th (S),4',GCalR,CDS-21,M ,CDS-21
Chicago,IL0045012,57,Berteau Ave (W),14.5' x 10.5',NBCR,DS-M88,M,DS-M88
Brookfield,Not Permitted,NP,"Jackson Ave  (Brookfield Zoo, across from Wolf Den) (E)",2.5',SC,DS-D62,M ,DS-D62
Mt. Prospect,Not Permitted,NP,Can-Dota Ave (extended) (S),3',Weller Creek,UDP-DS3 (K11),M ,UDP-DS3 (K11)
Evanston,ILM580002,A13,Mulford St (E),2 (5'),NSC,DS-M101,M,DS-M101
Chicago,IL0045012,138,Roosevelt Rd (Roosevelt & Lumber) (W),4.33' x 5.5',SBCR,DS-M49,M,DS-M49
North Riverside,ILM580030,2,26th St (West abutement of the bridge) (W),4.5',DPR,DS-D35,M,DS-D35
Chicago,IL0045012,185,Kenton Ave (Kostner Ave Ext.) (N),18' x 14.42',CSSC,DS-M15,M,DS-M15
Chicago,IL0045012,16,Wildwood Ave ext. (Caldwell & Tonty) (E),4.5',NBCR,DS-N10A,M,DS-N10A
Chicago,IL0045012,105,Fairbanks Ct. (St. Clair) (N),5.5',CR,DS-M60,U,DS-M60
Arlington Heights,ILM580006,1,S of Central Rd Bridge (N),10' x 10',Weller Creek,UDP-DS1 (K1),M ,UDP-DS1 (K1)
Chicago,IL0045012,61,Addison St (Inside ComEd's property) (E),12' x 9.58',NBCR,DS-M85,M,DS-M85
Chicago,IL0045012,231,"Grace St (W), North of DS-M86",12' x 12',NBCR,DS-M86,M,DS-M86
Maywood,ILM580022,7,Maybrook Dr - C&NW RR (S),2.5',DPR,DS-D32,M,DS-D32
Dolton,ILM580017,2,Dorchester Ave ext. (S),5.5',LCalR,CDS-18,M ,CDS-18
Chicago,IL0045012,26,"Cicero Ave (N), South of Forest Glen",4',NBCR,DS-N04,M,DS-N04
Dolton,ILM580017,1,Park Ave (Forest Av Ext.) (S),4.5',LCalR,CDS-17,M ,CDS-17
Forest Park,ILM580019,1,Roosevelt Rd (East bridge abutement) (E),5.5',DPR,"DS-D28,30",M,"DS-D28,30"
Chicago,IL0045012,134,Polk St (W),3.42' x 4.5',SBCR,TG-I32,M,TG-I32
Brookfield,ILM580032,3,Jackson Ave ext. (Jackson & Prairie) (W ) ),2.5',SC,DS-D40,M ,DS-D40
MW RD / Blue RD / Blue Island,IL0028061 / LM580031,156 / 001,Francisco Ave (N),6.5' x 6.5',CSC,CDS-5,M,CDS-5
Mt. Prospect,Not Permitted,NP,W of Elmhurst Rd (N),6',Weller Creek,UDP-DS4 (K20),M ,UDP-DS4 (K20)
Morton Grove,ILM580005,2,Dempster St near Lincoln Ave (E),2.67' x 4',NBCR,DS-N19,M,DS-N19
Chicago,IL0045012,10,Ardmore Ave (E),7' x 5.6',NSC,TG-M94,M,TG-M94
Chicago,IL0045012,65,Western Ave East Bank (N),6',NBCR,TG-M81,M,TG-M81
Chicago,IL0045012,226,Wilson Ave ext. (Wilson & East River Rd) (E),6',DPR,DS-D10,M,DS-D10
Melrose Park,ILM580003,1,Division St & 1st Ave (W),5',DPR,DS-D52,M,DS-D52
Franklin Park,ILM580029,1,Robinson Rd (W )),10' x 6',DPR,DS-D13,M ,DS-D13
North Riverside,ILM580030,1,26th St (East abutement of the bridge) (E),5',DPR,DS-D36,M,DS-D36
Chicago,IL0045012,63,Roscoe St (W),4 (8' x 8'),NBCR,DS-M84,M,DS-M84
Evanston,ILM580002,10,Main St (E),2 (10' x 8'),NSC,DS-M104E,M ,DS-M104E
Chicago,IL0045012,183,Pulaski Rd (N),8' x 8',CSSC,TG-I9,M,TG-I9
Niles,ILM580035,2,Cleveland St east of Caldwell Ave (W),4.5',NBCR,DS-N17,M,DS-N17
Chicago,IL0045012,151,Canal St & Grove St (S),8',SBCR,DS-M41,M,DS-M41
Chicago,IL0045012,84,Blackhawk St (W),16.5' x 11',NBCR,DS-M66,M,DS-M66
Chicago,Not Permitted,241,Stewart Ave (also known as Normal Ave or Harvard) (N),2 (12'x12'),LCalR,CDS-12,M,CDS-12
Niles,ILM580035,9,Forestview Lane &amp; Riverside Dr (E of Milwaukee) (W),3.5',NBCR,DS-N11,M,DS-N11
Chicago,IL0045012,132,Harrison St (W),5',SBCR,DS-M51,M,DS-M51
Niles,ILM580035,10,Caldwell Ave &amp; Touhy Ave (Harts Rd &amp; Touhy Ave) (E),2 (5.5' x 3.58'),NBCR,DS-N12,M,DS-N12
Chicago,IL0045012,178,Albany Ave (N),9',CC,TG-I12,M,TG-I12
Chicago,IL0045012,73,Fullerton Ave (W),6',NBCR,DS-M76,M,DS-M76
Chicago,IL0045012,18,Miami Ave (Indian & Monitor) (W),2.5',NBCR,DS-N09,M,DS-N09
Arlington Heights,ILM580006,1,S of Central Rd Bridge (N),8' x 7.5',Weller Creek,UDP-DS1A (K1A),M,UDP-DS1A (K1A)
Brookfield,Not Permitted,NP,Extended Southview Ave (E),1',SC,"DS-D47,50,51",M ,"DS-D47,50,51"
Chicago,IL0045012,173,Western Ave (S),12' x 14',CSSC,DS-M21,M,DS-M21
Blue Island,ILM580031,3,Division Ave (S),5.5',CSC,CDS-8,M ,CDS-8
Chicago,IL0045012,194,35th St. (W),6.5',SFSBCR,DS-M30,M,DS-M30
Chicago,IL0045012,30,Foster Ave & Keeler (W),6.5',NBCR,DS-N02,M,DS-N02
Chicago,IL0045012,136,Taylor St (W),5.5' x 4.33',SBCR,TG-I28 & I29,M,TG-I28 & I29
Chicago,IL0045012,168,Paulina St (N),9',SBCR,DS-M25,M,DS-M25
Chicago,IL0045012,121,Franklin St (S),3',CR,DS-M54,M,DS-M54
Chicago,IL0045012,239,Vernon Ave & E. 134th St (N),6',LCalR,CDS-16,M,CDS-16
Chicago,IL0045012,227,Belmont Ave (E),12' x 6.58',DPR,DS-D11,M,DS-D11
River Grove,ILM580021,5,Fullerton Ave (Maple &amp; Fullerton) (E),5',DPR,DS-D18,M,DS-D18
Chicago,IL0045012,125,Washington St (W),12' X 9',SBCR,Indirect (TG-M53),M,Indirect (TG-M53)
Chicago,IL0045012,172,Oakley Ave (N),10' x 8',CSSC,TG-M22,M,TG-M22
Des Plaines,Not Permitted,NP,N of Columbia and Seegers (N),3',Weller Creek,Indirect (UDP-DS5),M,Indirect (UDP-DS5) (K27)
Evanston,ILM580002,A02,Central St (E),1.25',NSC,DS-M111,U ,DS-M11
Evanston,ILM580002,11,Cleveland St (E),4.5',NSC,DS-M103,U ,DS-M10
MWRD,IL0028088,102,Green Bay Rd &amp; McCormick (W),8.5' x 9.5',NSC,DS-M109N,M,DS-M109 N
Chicago,IL0045012,20,Mango Ave ext. (Leonard & Miltmore) (W),9.5',NBCR,DS-N08,M,DS-D08
Chicago,IL0045012,190,Ashland Ave (W),4',SFSBCR,DS-M33,U,DS-D33
Des Plaines,Not Permitted,NP,Oakton St (W )),2.5',DPR,DS-D03R,U ,DS-M03
Blue Island,ILM580031,4,Division Ave (N),5',CSC,CDS-9,U ,
Blue Island / Posen,ILM580031/IL0043133,005 / 001,California Ave &amp; Edward St (S),4.5',CSC,CDS-6,M,
Brookfield,ILM580032,7,Brookfield Ave (W )),2.5',SC,"DS-D39,42,46",M ,
Brookfield,ILM580032,5,Brookfield Ave (Southwest wing wall of the bridge) (W ) ),4',SC,"DS-D39,42,46",M ,
Brookfield,ILM580032,6,Southview Ave ext. (W )),2',SC,"DS-D47,50,51",M ,
Brookfield,Not Permitted,NP,Southview Ave Ext. (W )),1',DPR,DS-DA6,U,
Calumet City,ILM580025,1,Burnham Ave (S),7' x 7.5',GCalR,CDS-24,U,
Calumet City,ILM580025,3,Woodview Ave (N),3.5',LCalR,CDS-53,M ,
Calumet City,ILM580025,4,Green Bay Ave (N),4',LCalR,CDS-55,M ,
Calumet City,ILM580025,5,Burnham Ave (N),2.5',LCalR,CDS-55,M ,
Calumet City,ILM580025,6,Stanley Blvd (Freeland Ave) (N),3',LCalR,CDS-55,M ,
Chicago,ILM580007,5,Indiana Ave (East of Wabash) (ACME Steel) (W),2 (2.5'),LCalR,CDS-15-4,U,
Chicago,IL0045012,210,Indiana Ave (E),2',LCalR,CDS-15-5,M,
Chicago,IL0045012,216,Peoria Ave (N),2.5',LCalR,CI-6,U,
Chicago,IL0045012,215,Halsted St (N),4.5',LCalR,CI-7,U,
Chicago,IL0045012,214,Parnell Ave (N),4',LCalR,CI-8,U,
Chicago,IL0045012,209,Forest Ave (N),1.5',LCalR,CI-9,U,
Chicago,IL0045012,42,Lawrence Ave (W),15.5' x 19.5' Tunnel,NBCR,DS-LAT,M,
Chicago,IL0028088,101,Sheridan Rd (Wilmette P.S.) (W),8' x 7',NSC,DS-M114N,M,
Chicago,IL0045012,187,Leamington Ave (S),21.5' x 19.33',CSSC,DS-M12,M,
Chicago,IL0045012,180,Kedzie Ave (S),9',CSSC,DS-M17,M,
Chicago,IL0045012,179,Kedzie Ave (N),2.25',CSSC,DS-M18,U,
Chicago,IL0045012,170,Damen Ave (N),3',SBCR,DS-M23,U,
Chicago,IL0045012,169,Wood St (N),0.67',SBCR,DS-M23,U,
Chicago,IL0045012,193,31st St (E),5',SFSBCR,DS-M31,U,
Chicago,IL0045012,192,Archer Ave (E),3',SFSBCR,DS-M31,U,
