010,TG-M94,Ardmore/ (E),1 – Chicago
002,DS-M97,Pratt Ave./ (E),1 – Chicago
003,DS-M97,North Shore Ave./ (E),1 – Chicago
A13,DS-M101,Mulford St./ (E),1 – Evanston
010,DS-M104E,Main St./ (E),1 – Evanston
009,TG-M105E,Greenleaf St./ (E),1 – Evanston
A07,DS-M107-2,Emerson St./ (W),1 – Evanston
A04,DS-M109S,Green Bay Rd. & McCormick Blvd./ (W),1 – Evanston
105,DS-M100,Howard Street/ (W),1 – MWRD
104,DS-M106E,Lake St./ (E),1 – MWRD
102,DS-M109N,Green Bay & McCormick/ (W),1 – MWRD
101,DS-M114N,(Wilmette PS) Sheridan Rd. (W),1 – MWRD
005,DS-M104W,Main St./ (W),1 – Skokie
002,DS-M105W,Greenwood & McCormick Blvd./ (W),1 – Skokie
003,DS-M107-1,Emerson/ (W),1 – Skokie
001,DS-M114N-2,Sheridan Rd./ (W),1 – Wilmette
073,DS-M76,Fullerton/ (W),1 – Chicago
068,DS-M79,Diversey/ (W),1 – Chicago
070,DS-M79,Logan/ S of Diversey/ (W),1 – Chicago
067,DS-M80,Leavitt St. (NE)/ SW of DS-M80,1 – Chicago
065,TG-M81,Western Ave./ (NE),1 – Chicago
064,DS-M82,Belmont Ave./ (W),1 – Chicago
238,DS-M83,Melrose St. & Rockwell St./ (W),1 – Chicago
063,DS-M84,Roscoe St./ (W),1 – Chicago
061,DS-M85,Addison St./ (E)/ (Inside ComEd's property),1 – Chicago
231,DS-M86,Grace St./ (W)/ N of DS-M86,1 – Chicago
057,DS-M88,Berteau Ave./ (W),1 – Chicago
042,DS-LAT,Lawrence Ave./ (W),1 – Chicago
030,DS-N02,Foster Ave. and Keeler/ (W),1 – Chicago
029,DS-N03,Bryn Mawr and Kilbourn Ave./ (N),1 – Chicago
026,DS-N04,Cicero/ S. of Forest Glen/ (N),1 – Chicago
024,DS-N05,Forest Glen Ave./ W of Cicero (S),1 – Chicago
234,DS-N06,Ardmore Ave. (Indian and Ardmore)/ (W),1 – Chicago
021,DS-N07,Central Ave./ (N)/ (5900-6100 North),1 – Chicago
020,DS-N08,Mango Ave. (Ext.)/ (W) (Leonard & Miltmore),1 – Chicago
018,DS-N09,Miami Ave./ (W) (Indian & Monitor),1 – Chicago
016,DS-N10A,Wildwood Ave. (Ext.)/ (E) (Caldwell & Tonty),1 – Chicago
017,DS-N10B,Imlay St. & Milwaukee Ave./ (W),1 – Chicago
236,DS-N13R,Franks and Nieman/ (W),1 – Chicago
107,DS-M90 & DS-M91,North Branch Pump Station (NBPS) (E),1 – MWRD
002,DS-N19,Dempster and Lincoln/ (E),1 – Morton Grove
009,DS-N11,Forestview Lane & Riverside Dr./ (W) (East of Milwaukee),1 – Niles
010,DS-N12,Caldwell & Touhy Ave./ (E) (Harts & Touhy),1 – Niles
008,DS-N13R,Franks and Nieman/ (W) (6872 Touhy),1 – Niles
003,DS-N16,Nordica and Dobson/ (W),1 – Niles
002,DS-N17,Cleveland St./ E. of Caldwell Ave. (W),1 – Niles
001,DS-N18,Main St. (Ext)/ E of Caldwell Ave. (W),1 – Niles
001,UDP-DS1 (K1) & UDP-DS1A (K1A),S of Central Rd. Bridge/ (N),1 – Arlington Heights
007,UDP-DS5 (K27) Indirect,E of Columbia and Seegers/ (N),1 – Des Plaines
111,UDP-DS1 (K2-1&K2-2),S of Central Rd. Bridge/ (N),1 – MWRD
001,UDP-DS3 (K11),Can-Dota Ave. (extended)/ (S),1 – Mt. Prospect
002,UDP-DS3 (K14),Wa-Pella Ave. (extended)/ (S),1 – Mt. Prospect
003,UDP-DS4 (K20),W of Elmhurst Rd./ (N),1 – Mt. Prospect
004,UDP-DS6 (K22),William St. Bridge/ (N),1 – Mt. Prospect
NA,None (K3),S of Lincoln St./ (E),1 – Mt. Prospect
005,UDP-DS8 (K25-1&K25-2),E of Feehanville Rd./ (W),1 – Mt. Prospect
006,UDP-DS8 (K26),E of Feehanville Rd./ (W),1 – Mt. Prospect
103,DS-M61A,Fulton & Canal St./ (W),1 – Chicago
092,DS-M64,Cortez & Elston/ (W),1 – Chicago
084,DS-M66,Blackhawk St./ (W),1 – Chicago
083,DS-M70,North Ave./ (E),1 – Chicago
082,TG-M71,North Ave./ (W),1 – Chicago
077,DS-M73,McLean Ave./ (W),1 – Chicago
074,DS-M75,Fullerton Ave./ (E),1 – Chicago
121,DS-M54,Franklin St. (S),1 – Chicago
107,DS-M55,Michigan Ave. (S),1 – Chicago
106,TG-M60,Beaubien Ct. (Saint Clair St.)/ (N),1 – Chicago
168,DS-M25,Paulina St./ (N),1 - Chicago
166,DS-M35,Laflin/ (N),1 - Chicago
156,DS-M38,Union Ave./ (N),1 - Chicago
154,DS-M40,Normal Ave./ (S),1 - Chicago
151,DS-M41,Canal St. & Grove St./ (S),1 - Chicago
143,DS-M45,14th St./ (E),1 - Chicago
140,DS-M47,Maxwell St. & Lumber Ave./ (W),1 - Chicago
138,DS-M49,Roosevelt Rd. & Lumber Ave./ (W),1 - Chicago
132,DS-M51,Harrison St./ (W),1 - Chicago
129,DS-M52,Quincy St. & Lower Wacker Dr./ (E),1 - Chicago
136,TG-I28 & I29,Taylor St./ (W),1 - Chicago
134,TG-I32,Polk St./ (W),1 - Chicago
125,Indirect (TG-M53),Washington St. (W),1 - Chicago
198,DS-M26,Iron St./ (W),1 - Chicago
194,DS-M30,35th. St./ (W),1 - Chicago
142,DS-M27/ DS-M28 & DS-M29,Racine Ave Pump Station (RAPS),1 - MWRD
188,DS-M08,Natchez Ave (Ext)/ (S),1 - Chicago
187,DS-M12,Leamington Ave. (Ext)/ (S),1 - Chicago
185,DS-M15,Kenton Ave. (Kostner Ave/ Ext)/ (N),1 - Chicago
182,TG-M16,Lawndale Ave. (N),1 - Chicago
180,DS-M17,Kedzie Ave./ (S),1 - Chicago
176,DS-M19,California Ave./ (S),1 - Chicago
174,DS-M20,Rockwell Ave/ (S),1 - Chicago
173,DS-M21,Western Ave./ (S),1 - Chicago
172,TG-M22,Oakley Ave./ (N),1 - Chicago
186,TG-I5,Cicero Ave./ (S),1 - Chicago
184,TG-I8,Pulaski Rd./ (S),1 - Chicago
183,TG-I9,Pulaski Rd./ (N),1 - Chicago
189,TG-NASH,Nashville Ave. Pump Station,1 - Chicago
147,DS-M03,67th St. (Ext)/ (S),1 - MWRD
145,DS-M09,East Ave. (Ext.)/ (Hiawatha Ave/ Highland Ave.)/ (N),1 - MWRD
144,DS-M10,Lombard Ave./ (N),1 - MWRD
143,DS-M13,Laramie Ave. (Ext) (N),1 - MWRD
146,TG-13A,Southwest Side 13A Pump Station / McCook Pump Station,1 - MWRD
001,DS-M09,Hiawatha Ave. (Highland Ave. ext.)/ (N),1 - Stickney
002,TG-M05,Lawndale Ave. (E),1 - Summit
178,TG-I12,Albany Ave. (N),1 – Chicago
001,DS-D37/ 38,30th St. & Forest Ave./ (W),1 - Brookfield
007,DS-D39/ 42/ 46,North of Brookfield Ave./ (W),1 - Brookfield
005,DS-D39/ 42/ 46,South of Brookfield Ave. (SW wingwall of bridge)/ (W),1 - Brookfield
004,DS-D39/ 42/ 46,Brookfield Ave. (SE wingwall of bridge)/ (E),1 - Brookfield
003,DS-D40,Jackson & Prairie/ (W),1 - Brookfield
009,DS-D47/ 50/ 51,Southview Ave. (Ext.) & Arden/ (E),1 - Brookfield
006,DS-D47/ 50/ 51,Southview Ave. (Ext.) & Custer/ (E),1 - Brookfield
008,DS-D62,Jackson Ave. (Ext.) (Brookfield Zoo across from Wolf Den/ (E),1 - Brookfield
001,D47/ 50/ 51 & DS-13A-1,Konrad Ave. & Patricia/ (S),1 - LaGrange
003,DS-D37/ 38,31st. St. & Forest Ave./ (W),1 - LaGrange Park
150,DS-D34-AI,Westchester Pump Station (WCPS),1 - MWRD
226,DS-D10,East River Rd. & Wilson Ave./ (E),1 - Chicago
227,DS-D11,100’ N of Belmont/ (E),1 - Chicago
001,DS-D01,River Rd. & Thacker St./ (W) (Prairie Ave.),1 - Des Plaines
005,DS-D03R,River Rd. & Riverview Ave./ (W),1 - Des Plaines
002,DS-D28,Van Buren (ext)/ (in Concordia Cemetery) (E),1 - Forest Park
001,DS-D30/ 28,N of Roosevelt Rd./ (E),1 - Forest Park
001,DS-D13,River Rd. & Robinson Dr./ (W),1 - Franklin Park
004,DS-D14,SE corner of River Rd. & Belmont/ (W),1 - Franklin Park
002,DS-D15,River Rd. & Franklin/ (W),1 - Franklin Park
003,DS-13A-4,47th St. (W),1 - Lyons
002,DS-D48,40th Street (Ext) & Haas/ (E),1 - Lyons
001,DS-D49,Ogden Ave/ (W),1 - Lyons
003,DS-D21/ 25,North Side of Lake St. & East of 1st Ave.,1 - Maywood
NA,DS-D21/ 25,South Side of Lake St. & 1st Ave./ (W),1 - Maywood
NA,DS-D21/ 25,South Side of Lake St. & East of 1st Ave.,1 - Maywood
001,DS-D22/ 24/ 25,Augusta St. (W),1 - Maywood
002,DS-D22/ 24/ 25,Rice St. (W),1 - Maywood
NA,DS-D22/ 24/ 25,Huron St/ E of 1st Ave./ (W),1 - Maywood
005,DS-D27I,1st Ave. & Maple St./ (W),1 - Maywood
004,DS-D27I,1st Ave. & Oak St./ (W),1 - Maywood
NA,DS-D27I,1st Ave. & North of Oak St./ (W),1 - Maywood
NA,DS-D31,S of Washington Blvd./ (W),1 - Maywood
006,DS-D31,School St. ext./ (W),1 - Maywood
007,DS-D32,Maybrook Dr. (W),1 - Maywood
008,DS-D33,SW corner of 1st Ave. & Roosevelt Rd./ (W),1 - Maywood
001,DS-D52,Division & 1st Ave./ (W),1 - Melrose Park
131,DS-D07,S of Devon & E River Rd./ (E),1 - MWRD
132,DS-D08,N of NW Tollway/ (E),1 - MWRD
133,DS-D09,W of East River Rd. along Foster/ (N),1 - MWRD
134,DS-D19/ 23,North Ave./ (Thatcher Rd.)/ (E),1 - MWRD
135,DS-D63,S of Chicago Ave./ (E),1 - MWRD
136,DS-D34-DI,Roosevelt Rd./ (W),1 - MWRD
002,DS-D35,N of 26th St./ (W),1 - North Riverside
001,DS-D36,S of 26th St./ (E),1 - North Riverside
005,DS-D02,Methodist Campground/ (E),1 - Park Ridge
002,DS-D05,Riverside Dr. near Sibley/ (E),1 - Park Ridge
006,DS-D05,Riverside Dr. near Sibley/ (E),1 - Park Ridge
003,DS-D06,Touhy Ave./ (E),1 - Park Ridge
007,DS-D06,Touhy Ave./ (E),1 - Park Ridge
004,DS-D07,S of Devon (E),1 - Park Ridge
008,DS-D07,S of Devon (E),1 - Park Ridge
003,DS-D26,S of Lake St./ (E),1 - River Forest
004,DS-D29/ 64,Madison & Thatcher/ (E),1 - River Forest
001,DS-D15,River Rd. & Franklin/ (W),1 - River Grove
002,DS-D16,SE corner of River Rd. & Grand/ (W),1 - River Grove
003,DS-D17,Herrick Ave./ (W),1 - River Grove
004,DS-D17,Fullerton Ave./ (W),1 - River Grove
005,DS-D18,River Grove PS/ Maple & Fullerton/ (E),1 - River Grove
006,DS-D20I,River Rd. & Palmer (Lyndale Ext.)/ (W),1 - River Grove
012,DS-D41,N of Ogden/ (E),1 - Riverside
NA,DS-D44/ 45,Olmstead Rd & Riverside Dr./ (N),1 - Riverside
010,DS-D44/ 45,Near junction of Gage/Riverside Rd./ (N),1 - Riverside
011,DS-D44/ 45,Blackhawk Rd. ext./ (NE),1 - Riverside
013,DS-D66,Forest Ave (Ext.)/ (W),1 - Riverside
001,DS-D12I,SE corner of River Rd. & Irving Park Rd./ (W),1 - Schiller Park
002, ,Lemont WRP,1 - MWRD
Discharge No. ,TARP Structure ,Outfall Location ,CSO Outfall Owner(s)
005/001,CDS-6 ,California Avenue & Edward Street,1 -Blue Island/Posen
002,CDS-7,Irving Avenue (N),1 - Blue Island
003,CDS-8,Division Avenue (S),1 - Blue Island
001/218,CDS-10,Laflin Avenue (N),1 -Calumet Park/Chicago
158,18E-PS,Pulaski Road PS (Crawford Ave N),1 - MWRD
157,CDS-2,Central Park Avenue (N),1 - MWRD
163,CDS-4,Sacramento Avenue (S),1 - MWRD
156/001,CDS-5,Francisco Avenue (N),1 -MWRD/Blue Island
154,CDS-11,Throop Street (N),1 - MWRD
002,CDS-53,River Drive (N),1 - Calumet City
003,CDS-53,Woodview Avenue (N),1 - Calumet City
004,CDS-55,Greenbay Ave (N),1 - Calumet City
005,CDS-55,Burnham Avenue (N),1 - Calumet City
006,CDS-55,Stanley Boulevard (N),1 - Calumet City
007,CDS-55,Lincoln Avenue (N),1 - Calumet City
211,CDS-14,130th Street (E),1 - Chicago
210,CDS-15-5,Indiana Avenue (E),1 - Chicago
239,CDS-16,Vernon Avenue & East 134th Street,1 - Chicago
241,CDS-12,Stewart Avenue,1 - Chicago
001,CDS-39,Ashland Avenue (S),1 - Dixmoor
001,CDS-17,Forest Avenue Ext. (S),1 - Dolton
002,CDS-18,Dorchester Avenue (S),1 - Dolton
003,CDS-51,Ellis Avenue (N),1 - Dolton
001,CDS-41,144th Street (W),1 - Harvey
002,CDS-41,Center Avenue (E),1 - Harvey
003,CDS-42,Union Street (W),1 - Harvey
004,CDS-43,Clinton Street (W),1 - Harvey
005,CDS-43,Illinois Central Railroad (E),1 - Harvey
006,CDS-45,147th Street (N),1 - Harvey
007,CDS-45,149th Street (E),1 - Harvey
002/005,CDS-55,Burnham Avenue (S),1 - Lansing
004,TARP Bypass,WRP TARP Bypass (W),1 - MWRD
153,CDS-13,Edbrook Avenue (125th St. PS),1 - MWRD
001,CDS-45,9th Avenue Extension & 151st Street,1 - Phoenix
002,CDS-15-1,Penn Central & Dearborn Street,1 - Riverdale
003,CDS-15-2,Wabash Street (S)/Ext. State Street,1 - Riverdale
004,CDS-42,Union Avenue P.S. (N),1 - Riverdale
005,CDS-15-4,Indiana Avenue (W),1 - Riverdale
N/A,CDS-15-3,Extended State Street,1 - Riverdale
001,CDS-C-1,South Park (N),1 - South Holland
002,CDS-C-1,South Park (S),1 - South Holland
003,CDS-48,Chicago & Eastern Railroad Yard,1 - South Holland
004,CDS-45,152nd Street Extension Structure 1,1 - South Holland
N/A,CDS-45,152nd Street Extension Structure 2,1 - South Holland
206,CDS-20,134th & Brainard,1 - Chicago
152,CDS-28,122nd Street PS,1 - MWRD
151,CDS-34,95th Street PS,1 - MWRD
001,CDS-21,Escanaba Avenue,1 - Burnham
002,CDS-22,138th Place Extension (N),1 - Burnham
003,CDS-23,142nd Street Extension,1 - Burnham
001,CDS-57,Markham PS,1 - Markham
