collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),cl(qual_code),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2010-12-06 00:00:00,ww_17,12.4,2.1,7.25,12.736,0.12,1.13,1.72,75.58,910.0,8.0,0.0,8.36,162.0,329.0,ar,0.6,5.0,0.0,0.005,0.0013,,3.21,11.6,280.0,130.0,8.3,0.0,0.0,0.051,0.047,0.2,0.2,0.0,0.0,66.1,64.9,0.0,0.0,0.0,0.0,0.005,0.3,0.0,0.0,0.0,26.0,26.0,0.034,0.022,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_19,12.0,1.2,8.01,11.354,0.13,1.03,1.49,76.85,1052.0,13.0,0.0,13.6,158.0,416.0,ar,0.67,4.9,0.0,0.006,0.0012,,<4.23,10.4,1600.0,1100.0,5.1,0.0,0.0,0.046,0.042,0.21,0.21,0.0,0.0,67.2,66.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,25.2,25.2,0.053,0.033,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_20,10.7,0.9,8.06,10.467,0.12,1.15,1.36,74.33,1060.0,26.0,5.0,17.9,156.0,404.0,ar,0.62,4.0,0.0,0.006,0.001,,7.69,12.1,540.0,540.0,6.5,0.0,0.0,0.042,0.039,0.2,0.2,0.0,0.0,65.2,64.7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,24.4,24.5,0.045,0.026,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,6.9,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_24,7.5,1.5,7.75,10.379,0.21,1.08,1.63,78.09,880.0,17.0,0.0,12.4,142.0,344.0,ar,0.6,5.1,0.0,0.006,0.0,,<4.94,6.88,1100.0,,9.2,0.0,0.0,0.03,0.026,0.22,0.22,0.0,0.0,65.5,65.6,0.0,0.0,0.0,0.0,0.005,0.6,0.0,0.0,0.0,23.8,24.1,0.049,0.031,,0.0,,0.009,0.009,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_109,9.3,1.2,7.56,9.784,0.97,1.03,1.43,72.53,1030.0,11.0,0.0,14.0,146.0,430.0,ar,0.56,4.0,0.0,0.007,0.001,,3.64,7.75,1400.0,,7.1,0.0,0.0,0.031,0.028,0.24,0.24,0.0,0.0,66.3,65.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,24.0,24.0,0.0695,na,q,0.0,,0.012,0.008,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_22,10.3,1.4,7.69,9.763,0.53,1.06,1.27,75.11,1122.0,9.0,0.0,9.85,152.0,476.0,ar,0.64,4.1,0.0,0.007,0.0014,,<3.10,9.86,540.0,400.0,6.1,0.0,0.0,0.038,0.035,0.22,0.21,0.0,0.0,65.8,64.9,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,24.1,24.1,0.049,0.028,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_23,9.5,1.9,7.49,9.058,0.38,0.93,1.15,78.78,818.0,7.0,0.0,8.8,155.0,308.0,ar,0.58,4.4,0.0,0.005,0.001,,<4.66,<6.10,230.0,120.0,6.2,0.0,0.0,0.033,0.031,0.23,0.23,0.0,0.0,62.4,62.8,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,24.1,24.5,0.057,0.048,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_29,10.5,1.3,7.89,8.564,0.15,0.88,1.14,76.67,620.0,5.0,0.0,6.91,155.0,192.0,ar,0.58,6.3,0.0,0.0,0.0,,<3.50,<5.40,580.0,360.0,5.1,0.0,0.0,0.03,0.027,0.2,0.2,0.0,0.0,63.7,61.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,24.7,24.1,0.037,0.023,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_91,6.1,1.1,7.78,7.688,0.1,0.83,1.07,83.54,622.0,13.0,0.0,8.81,165.0,174.0,ar,0.52,4.4,0.0,0.0,0.0,,<2.48,7.36,99.0,40.0,9.8,0.0,0.0,0.03,0.026,0.19,0.19,0.0,0.0,65.3,65.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,26.2,26.3,0.04,0.016,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_80,12.0,10.6,7.4,11.225,0.17,1.16,1.8,65.58,582.0,0.0,0.0,4.56,124.0,176.0,ar,0.68,5.9,0.0,0.0,0.0,,<3.87,8.39,2900.0,,4.6,0.0,0.0,0.021,0.02,0.24,0.23,0.0,0.0,57.3,54.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,20.7,20.1,0.028,0.02,,0.0,,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,9.5,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_18,7.8,7.0,7.52,11.799,0.25,1.37,2.0,64.96,672.0,17.0,0.0,8.03,129.0,259.0,ar,0.73,6.4,0.0,0.005,0.001,,<3.42,8.69,2200.0,,6.3,0.0,0.0,0.023,0.02,0.24,0.23,0.0,0.0,57.9,56.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,20.9,20.4,0.05,0.036,,0.0,,0.009,0.009,0.0,0.0,0.0,0.0,0.0,0.02,7.9,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_89,7.0,10.8,7.45,16.823,0.0,1.37,2.74,55.53,530.0,12.0,4.0,7.03,119.0,140.0,ar,0.82,6.0,0.0,0.0,0.0013,,<1.69,20.3,1300.0,,1.9,0.0,0.0,0.028,0.022,0.25,0.24,0.0,0.0,56.9,52.9,0.0,0.0,0.0,0.0,0.01,0.7,0.0,0.0,0.0,20.6,19.6,0.043,0.015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_92,6.2,1.5,7.33,6.939,0.32,1.35,0.77,79.4,442.0,6.0,0.0,5.48,115.0,100.0,ar,0.6,4.5,0.0,0.005,0.0,0.0,,,340.0,,1.3,0.0,0.0,0.016,0.014,0.14,0.13,0.0,0.0,47.8,46.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,16.3,16.1,0.045,0.035,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,
2010-12-13 00:00:00,ww_106,11.6,0.5,7.4,4.824,0.4,1.15,0.81,59.02,1972.0,85.0,15.0,39.0,158.0,1031.0,ar,0.39,3.6,0.0,0.011,0.0,,<3.36,<5.25,5800.0,,14.0,0.0,0.0,0.072,0.062,0.1,0.1,0.0,0.0,86.2,84.1,0.0,0.0,0.0,0.0,0.006,2.81,0.0,0.0,0.0,27.1,26.4,0.096,0.06,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-13 00:00:00,ww_105,10.4,4.3,7.54,4.465,0.26,0.94,0.58,49.43,578.0,13.0,0.0,7.96,142.0,198.0,ar,0.45,4.8,0.0,0.0,0.0,,<2.51,5.35,200.0,,14.2,0.0,0.0,0.026,0.024,0.11,0.11,0.0,0.0,51.9,52.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,20.1,20.5,0.037,0.015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-13 00:00:00,ww_104,10.9,4.0,7.3,4.129,0.18,0.95,0.54,54.89,850.0,15.0,4.0,8.6,142.0,350.0,ar,0.42,4.3,0.0,0.005,0.0,,<3.95,<5.60,540.0,,9.6,0.0,0.0,0.032,0.028,0.11,0.11,0.0,0.0,57.7,56.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,21.5,21.2,0.117,0.095,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-13 00:00:00,ww_37,6.2,6.5,6.67,8.868,0.89,1.61,0.8,46.56,1208.0,7.0,0.0,5.27,124.0,584.0,ar,0.55,3.3,0.0,0.007,0.001,0.0,,,6700.0,,2.1,0.0,0.0,0.031,0.03,0.12,0.12,0.0,0.0,61.3,59.9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,19.6,19.5,0.032,0.028,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-13 00:00:00,ww_73,6.9,3.8,6.49,5.716,1.35,2.02,0.85,33.78,786.0,9.0,0.0,8.77,91.0,362.0,ar,0.45,4.7,0.0,0.006,0.0,0.0,,,21000.0,,1.5,0.0,0.0,0.022,0.02,0.09,0.1,0.0,0.0,42.3,42.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,13.3,13.4,0.038,0.032,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-13 00:00:00,ww_46,4.9,6.0,7.05,6.205,4.35,4.97,1.45,40.06,716.0,6.0,0.0,4.02,131.0,287.0,ar,0.72,4.6,0.0,0.005,0.0,0.0,,,32000.0,,2.1,0.0,0.0,0.024,0.02,0.14,0.14,0.0,0.0,51.6,49.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,17.1,16.7,0.038,0.032,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-13 00:00:00,ww_36,9.8,8.0,7.66,7.391,0.38,1.28,0.86,44.8,1092.0,5.0,0.0,2.45,140.0,504.0,ar,0.67,3.6,0.0,0.007,0.001,0.0,<4.73,<5.68,4600.0,,1.0,0.0,0.0,0.028,0.027,0.16,0.16,0.0,0.0,59.9,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,19.1,0.015,0.014,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-13 00:00:00,ww_101,8.9,7.9,7.3,8.963,0.66,1.47,0.88,45.36,1206.0,5.0,0.0,2.67,132.0,575.0,ar,0.63,3.7,0.0,0.006,0.0015,0.0,,,5400.0,,1.6,0.0,0.0,0.03,0.028,0.15,0.15,0.0,0.0,62.8,60.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,19.8,19.4,0.023,0.017,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-13 00:00:00,ww_96,12.2,0.3,8.0,6.132,0.38,0.91,0.72,55.47,1296.0,16.0,4.0,13.9,120.0,631.0,ar,0.42,3.6,0.0,0.011,0.0012,,<3.43,6.07,1700.0,,4.9,0.0,0.0,0.038,0.035,0.1,0.1,0.0,0.0,59.1,59.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,19.7,20.0,0.081,0.052,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-13 00:00:00,ww_92,8.3,8.6,7.26,11.075,0.84,1.72,1.79,96.61,620.0,7.0,0.0,3.52,129.0,180.0,ar,0.77,5.0,0.0,0.0,0.0012,0.0,,,250.0,,0.9,0.0,0.0,0.018,0.016,0.28,0.28,0.0,0.0,58.0,57.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,20.2,20.1,0.025,0.022,,0.0,,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-12-20 00:00:00,ww_74,10.4,1.5,6.13,4.665,0.57,0.99,0.6,34.8,604.0,4.0,0.0,2.6,119.0,232.0,ar,0.44,3.3,0.0,0.0,0.0014,,<3.79,6.04,80.0,,0.7,0.0,0.0,0.026,0.024,0.09,0.09,0.0,0.0,48.0,46.5,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,15.7,15.5,0.018,0.016,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.5,,,,,,
2010-12-20 00:00:00,ww_100,8.3,1.9,5.61,8.472,0.77,1.54,1.08,46.57,688.0,6.0,0.0,2.9,134.0,243.0,ar,0.72,4.1,0.0,0.0,0.0018,,2.34,7.72,950.0,,2.3,0.0,0.0,0.026,0.022,0.14,0.13,0.0,0.0,57.6,55.5,0.0,0.0,0.0,0.0,0.005,0.2,0.0,0.0,0.0,19.8,19.2,0.037,0.029,,0.0,,0.009,0.0,0.0,0.0,0.0,0.0,0.12,0.03,2.5,,,,,,
2010-12-20 00:00:00,ww_39,8.1,3.5,5.59,9.422,0.87,1.59,1.17,47.98,622.0,6.0,0.0,3.62,134.0,206.0,ar,0.78,4.5,0.0,0.0,0.0014,0.0,,,1200.0,,2.8,0.0,0.0,0.023,0.021,0.14,0.14,0.0,0.0,56.3,55.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,19.7,19.6,0.028,0.027,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,,,,,,,
2010-12-20 00:00:00,ww_108,8.1,8.5,6.3,7.483,0.48,1.15,0.93,47.33,838.0,4.0,0.0,3.66,138.0,338.0,ar,0.69,3.9,0.0,0.0,0.0016,0.0,,,370.0,,2.8,0.0,0.0,0.026,0.025,0.14,0.14,0.0,0.0,58.9,58.7,0.0,0.0,0.0,0.0,0.006,0.2,0.0,0.0,0.0,20.0,20.1,0.052,0.049,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,,,,,,,
2010-12-20 00:00:00,ww_99,6.2,3.1,6.8,6.638,1.59,2.43,1.05,43.72,656.0,7.0,0.0,3.73,129.0,240.0,ar,0.68,4.5,0.0,0.0,0.0012,0.0,,,80.0,,1.9,0.0,0.0,0.022,0.019,0.14,0.14,0.0,0.0,52.3,51.4,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,17.7,17.5,0.044,0.038,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,
2010-12-20 00:00:00,ww_40,9.2,5.6,7.13,6.717,0.54,1.65,0.79,43.89,854.0,6.0,0.0,4.79,129.0,367.0,ar,0.58,3.7,0.0,0.0,0.0014,0.0,,,200.0,,2.2,0.0,0.0,0.027,0.023,0.12,0.12,0.0,0.0,55.6,53.5,0.0,0.0,0.0,0.0,0.005,0.2,0.0,0.0,0.0,18.8,18.1,0.035,0.033,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,
2010-12-20 00:00:00,ww_75,6.8,9.0,6.92,7.496,1.54,2.38,1.15,42.61,704.0,14.0,0.0,6.04,120.0,273.0,ar,0.69,4.1,0.0,0.0,0.0012,0.0,<2.82,7.01,150.0,,1.4,0.0,0.0,0.024,0.018,0.14,0.13,0.0,0.0,52.1,50.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,17.8,17.0,0.032,0.027,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,
2010-12-20 00:00:00,ww_41,8.8,9.5,6.85,13.808,0.43,1.43,1.41,66.85,612.0,6.0,0.0,2.29,105.0,195.0,ar,0.82,5.1,0.0,0.0,0.0,0.0,<2.04,10.3,2300.0,,0.7,0.0,0.0,0.018,0.015,0.19,0.18,0.0,0.0,54.8,52.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,19.2,18.2,0.021,0.015,,0.0,,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.03,,,,,,,
2010-12-20 00:00:00,ww_92,7.7,10.0,7.1,7.616,0.6,1.32,1.0,115.51,1002.0,6.0,0.0,3.54,141.0,372.0,ar,0.71,4.6,0.0,0.0,0.0017,0.0,<3.60,5.99,90.0,,0.6,0.0,0.0,0.024,0.021,0.21,0.21,0.0,0.0,63.9,61.9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,21.9,21.0,0.031,0.027,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,
2010-12-20 00:00:00,ww_42,5.8,9.6,6.89,9.468,0.25,1.16,0.93,73.27,700.0,4.0,0.0,1.61,127.0,235.0,ar,0.89,5.0,0.0,0.0,0.0015,0.0,,,160.0,,0.5,0.0,0.0,0.019,0.017,0.34,0.34,0.0,0.0,58.0,57.9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,19.9,19.6,0.029,0.025,,0.0,,0.009,0.009,0.0,0.0,0.0,0.0,0.0,0.03,,,,,,,
2010-12-20 00:00:00,ww_48,7.0,4.5,7.11,7.832,0.5,1.2,1.08,74.09,752.0,5.0,0.0,3.23,132.0,264.0,ar,0.74,7.0,0.0,0.0,0.0016,0.0,,,80.0,,1.1,0.0,0.0,0.02,0.017,0.26,0.26,0.0,0.0,58.8,57.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,20.5,19.8,0.027,0.024,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,
