line_number,PIPE_DESC
1,100TH STREET WEST
2,122ND STREET EAST
3,122ND STREET PUMP STATION
4,130TH STREET EAST
5,134TH STREET
6,134TH STREET EAST
7,138TH & ESCANABA
8,138TH PLACE
9,13A PUMP STATION
10,142ND & MACKINAY
11,144TH STREET
12,147TH STREET
13,149TH STREET
14,14TH PLACE WEST
15,14TH STREET EAST
16,14TH STREET WEST
17,151ST STREET
18,152ND STREET(EXTENDED)
19,153RD ST & DEARBORN(EXT)
20,15TH STREET EAST
21,161ST STREET & DAMEN AVE
22,16TH STREET EAST
23,16TH STREET WEST
24,18TH STREET EAST
25,18TH STREET WEST
26,19TH STREET EAST
27,26TH ST E SIDE DES PLN RVR
28,26TH ST W SIDE DES PLN RVR
29,30TH STREET
30,31ST STREET
31,31ST STREET EAST
32,35TH STREET EAST
33,35TH STREET WEST
34,37TH STREET EAST
35,37TH STREET WEST
36,38TH & RACINE AVENUE
37,40TH STREET
38,47TH STREET
39,49TH STREET
40,49TH STREET & EAST AVENUE
41,57TH STREET
42,67TH STREET
43,6872 TOUHY AVENUE
44,75TH STREET
45,"90"" TRTMNT PLT BYPASS"
46,92ND STREET WEST
47,94TH PLACE (95TH ST PS)
48,94TH PLACE WEST
49,95TH STREET WEST
50,ADAMS STREET EAST
51,ADDISON STREET EAST
52,ADDISON STREET WEST
53,AGATITE AVENUE EAST
54,ALBANY AVENUE NORTH
55,ALBANY AVENUE NORTH
56,ALGONQUIN RD (E)
57,ARCHER AVENUE EAST
58,ARCHER AVENUE WEST
59,ARDMORE AVENUE EAST
60,ARDMORE AVENUE WEST
61,ARGO
62,ARGYLE STREET WEST
63,ASHLAND AVENUE EAST
64,ASHLAND AVENUE NORTH
65,ASHLAND AVENUE WEST
66,AUGUSTA STREET
67,BALMORAL AVENUE EAST
68,BARRYPOINT ROAD (EAST #1)
69,BEAUBIEN CT. SOUTH
70,BELMONT AVENUE (ELM ST)
71,BELMONT AVENUE EAST
72,BELMONT AVENUE WEST
73,BENTON
74,BENTON STREET CHAMBER
75,BERTEAU AVENUE WEST
76,BERWYN AVENUE WEST
77,BIRCHWOOD AVENUE EAST
78,BLACKHAWK STREET EAST
79,BLACKHAWK STREET WEST
80,BLUFF CITY BLVD BASN OVRFL
81,BLUFF CTY BLVD BASIN OVFLW
82,BRAINARD & MONROE
83,BRIAR ROAD AT OVERLOOK DR
84,BRIDGE STREET
85,BROOKFIELD AVENUE (N SIDE)
86,BROOKFIELD AVENUE (S SIDE)
87,BRYN MAWR AVENUE EAST
88,BRYN MAWR AVENUE WEST
89,BURNHAM AVENUE NORTH
90,BURNHAM AVENUE OUTFALL
91,BURNHAM AVENUE SOUTH
92,CALDWELL AVE & TOUHY AVE
93,CALIFORNIA AVENUE
94,CALIFORNIA AVENUE
95,CALIFORNIA AVENUE NORTH
96,CALIFORNIA AVENUE SOUTH
97,CALIFORNIA BOULEVARD SOUTH
98,CALUMET 1-C
99,CAMPBELL EXT  N BNK CAL SL
100,CAMPBELL EXT  S BNK CAL SL
101,CANAL STREET SOUTH
102,CARROLL AVENUE WEST
103,CASS STREET CHAMBER
104,CENTER AVENUE
105,CENTRAL AVENUE NORTH
106,CENTRAL PARK
107,CENTRAL PARK AVENUE NORTH
108,CENTRAL PARK AVENUE NORTH
109,CENTRAL PARK AVENUE SOUTH
110,CENTRAL ROAD
111,CENTRAL ROAD
112,CERMAK ROAD EAST
113,CERMAK ROAD WEST
114,CHATHAM STREET
115,CHESTNUT AND GRANT STREETS
116,CHICAGO AVENUE
117,CHICAGO AVENUE EAST
118,CHICAGO AVENUE WEST
119,CHICAGO GREAT WSTRN RAILRD
120,CHICAGO ST. BASIN OVERFLOW
121,CHICAGO STREET BASIN
122,CHRISTIANA AVENUE WEST
123,CHURCH STREET
124,CICERO AVENUE NORTH
125,CICERO AVENUE SOUTH
126,CICERO AVENUE SOUTH
127,CLARK
128,CLARK (016A)
129,CLARK STREET NORTH
130,CLARK STREET SOUTH
131,CLAY STREET
132,CLAY STREET CHAMBER
133,CLEVELAND STREET
134,CLIFTON AVENUE EAST
135,CLINTON STREET
136,COLUMBIA STREET CHAMBER
137,CORTEZ STREET EAST
138,CORTEZ STREET WEST
139,CORTLAND STREET EAST
140,CORTLAND STREET WEST
141,CROWLEY STREET CHAMBER
142,"CS0-DEVON AVE (E) 42"""
143,CS0-STP OUTFALL
144,CULLOM AVENUE EAST
145,DAMEN AVENUE EAST
146,DAMEN AVENUE NORTH
147,DAMEN AVENUE SOUTH
148,DAMEN AVENUE WEST
149,DEARBORN STREET NORTH
150,DEARBORN STREET SOUTH
151,DEMPSTER STREET
152,DEVON AVENUE
153,DEVON AVENUE
154,DEVON AVENUE EAST
155,DEVON AVENUE WEST
156,DIVERSEY AND VILLA AVENUE
157,DIVERSEY AVENUE EAST
158,DIVERSEY AVENUE WEST
159,DIVERSEY/VILLA AVE. LFT ST
160,DIVERSEY/VILLA AVE. LFT ST
161,DIVISION AVENUE (NORTH)
162,DIVISION AVENUE (SOUTH)
163,DIVISION STREET
164,DIVISION STREET EAST
165,DIVISION STREET WEST
166,DIVISION STREET WEST
167,DOBSON ST & NORDICA AVE
168,DORCHESTER AVENUE
169,DOUGLAS AVENUE BASIN
170,DREXAL AVENUE
171,DREXEL AVENUE NORTH
172,DUNCAN STREET CHAMBER EAST
173,DUNCAN STREET CHAMBER-WEST
174,DUNDEE AVENUE BASIN
175,E CALDWELL AVE @ CLEVELAND
176,E OF CALDWELL AVE @ MAIN
177,EAST AVENUE
178,EAST AVENUE(EXTENDED)
179,EAST ILLINOIS
180,EAST OF RIVERSIDE DRIVE
181,EASTMAN STREET EAST
182,EDBROOK AVENUE
183,EDBROOKE AVENUE NORTH
184,ELGIN JOLIET ESTRN RR YD W
185,ELGIN ROAD
186,ELLIS AVENUE
187,ELM
188,EMERSON ST & MCCORMICK BLV
189,EMERSON STREET
190,EMERSON STREET
191,ERIE STREET EAST
192,ERIE STREET WEST
193,EXCESS FLOW-COMB. SEWERS
194,FAIR ELMS
195,FAIRBANKS CT. NORTH
196,FIRST
197,FOREST AVENUE NORTH
198,FOREST GLEN AVENUE NORTH
199,FOREST GLEN AVENUE SOUTH
200,FOREST PRESERVE EAST
201,FOSTER AVENUE
202,FOSTER AVENUE EAST
203,FOSTER AVENUE EAST
204,FOSTER AVENUE EAST
205,FOSTER AVENUE WEST
206,FOSTER AVENUE WEST
207,FRANCISCO AVENUE
208,FRANCISCO AVENUE RIVER
209,FRANKLIN STREET
210,FRANKLIN STREET
211,FRANKLIN STREET SOUTH
212,FULLERTON AVE @ E BANK RVR
213,FULLERTON AVE @ W BANK RVR
214,FULLERTON AVENUE EAST
215,FULLERTON AVENUE WEST
216,FULTON STREET WEST
217,GAGE ROAD
218,GAGING STATION ASHLAND AVE
219,GARDNER STREET CHAMBER
220,GIDDINGS STREET WEST
221,GRACE STREET WEST
222,GRACE STREET WEST
223,GRAND AVENUE
224,GRAND AVENUE WEST
225,GREENBAY AVENUE
226,GREENBAY ROAD
227,GREENLEAF STREET
228,GREENWOOD ST & MCCORMICK
229,GROSS POINT RD (W) FRK/NIE
230,GROVE AVENUE
231,GROVE AVENUE BASIN
232,HAINES STREET EAST
233,HALSTED STREET EAST
234,HALSTED STREET NORTH
235,HALSTED STREET NORTH
236,HALSTED STREET NORTH
237,HALSTED STREET SOUTH
238,HALSTED STREET WEST
239,HARDING AVENUE
240,HARRISON STREET EAST
241,HARRISON STREET WEST
242,HAZEL
243,HEAD OF PLANT
244,HERRICK STREET
245,HIGHLAND AVENUE
246,HIGHLAND AVENUE BASIN
247,HOBBIE STREET EAST
248,HOWARD (W)
249,HOWARD AVENUE & RIVER ROAD
250,HOWARD ST & MCCORMICK BLVD
251,HOWARD STREET
252,HOWARD STREET WEST
253,HUTCHINSON STREET EAST
254,ILLINOIS CENTRAL RAILROAD
255,IMLAY STREET WEST
256,INDIANA AVENUE
257,INDIANA AVENUE SOUTH
258,IRON STREET
259,IRVING AVENUE
260,IRVING PARK ROAD EAST
261,IRVING PARK ROAD EXTENSION
262,IRVING PARK ROAD WEST
263,JACKSON AVENUE
264,JACKSON AVENUE
265,JACKSON BOULEVARD EAST
266,JACKSON STREET CHAMBER
267,JARVIS AVE-E OF SCHOOL ST
268,JOLIET STREET
269,KEDZIE AVENUE NORTH
270,KEDZIE AVENUE SOUTH
271,KEDZIE AVENUE SOUTH
272,KENILWORTH AVENUE
273,KENTON AVENUE NORTH
274,KILBOURN AVENUE NORTH
275,KING STREET
276,KINZIE STREET WEST
277,KONRAD AVENUE
278,KOSTNER AVENUE NORTH
279,LAFAYETTE STREET CHAMBER
280,LAFLIN AVENUE NORTH
281,LAFLIN STREET
282,LAFLIN STREET NORTH
283,LAKE SHORE DRIVE NORTH
284,LAKE ST & MCCORMICK BLVD
285,LAKE ST BASIN OVERFLW-0100
286,LAKE STREET
287,LAKE STREET
288,LAKE STREET
289,LAKE STREET
290,LAKE STREET BASIN
291,LAMON AVENUE SOUTH
292,LARAMIE AVENUE
293,LASALLE STREET NORTH
294,LASALLE STREET SOUTH
295,LATHROP AVENUE
296,LAWNDALE AVENUE NORTH
297,LAWRENCE AVENUE
298,LAWRENCE AVENUE
299,LAWRENCE AVENUE NORTH
300,LAWRENCE AVENUE WEST
301,LAWRENCE AVENUE WEST
302,LEAMINGTON AVENUE SOUTH
303,LEAVITT STREET EAST
304,LELAND AVENUE EAST
305,LELAND AVENUE WEST
306,LIME STREET CHAMBER
307,LINCOLN & DOUGLAS AVENUE
308,LINCOLN AVENUE
309,LINCOLN STREET
310,LINDER AVENUE WEST
311,LOCUST ST. BASIN OVERFLOW
312,LOCUST STREET BASIN
313,LOGAN AVENUE
314,LOGAN BOULEVARD WEST
315,LOMBARD AVENUE
316,LOOMIS STREET NORTH
317,LOOMIS STREET SOUTH
318,LORD ST. BASIN OVERFLOW
319,LORD STREET BASIN
320,MADISON STREET
321,MADISON STREET EAST
322,MAIN ST & MCCORMICK BLVD
323,MAIN STREET
324,MANGO AVENUE WEST
325,MAPLE STREET
326,MAPLE WOOD
327,MAXWELL STREET WEST
328,MCDONOUGH STREET CHAMBER
329,MCLEAN AVENUE EAST
330,MCLEAN AVENUE WEST
331,MIAMI AVENUE WEST
332,MICHIGAN AVENUE NORTH
333,MICHIGAN AVENUE SOUTH
334,MILL STREET BASIN
335,MONROE STREET EAST
336,MONTROSE AVENUE ALLEY EAST
337,MONTROSE AVENUE EAST
338,MONTROSE AVENUE WEST
339,MORGAN STREET NORTH
340,MORSE AVE EXT-N OF PRATT
341,MORSE AVENUE
342,MULFORD STREET
343,MWRDGC LEMONT WRP
344,MYRICK/VILLA AVE. LFT STN
345,NASHVILLE AVENUE SOUTH
346,NATCHEZ AVENUE SOUTH
347,NATIONAL ST. BASIN OVERFLW
348,NATIONAL ST. BYPASS
349,NATIONAL STREET BASIN
350,NILES CNTR OUTLT-OAKTON ST
351,NILES TERRACE-E OF SCHOOL
352,NORMAL AVENUE SOUTH
353,NORTH AVENUE
354,NORTH AVENUE EAST
355,NORTH AVENUE WEST
356,NORTH BRNCH PMPING STATION
357,NORTH SHORE AVENUE EAST
358,NORTHWEST TOLLWAY
359,NORTHWEST TOLLWAY EAST
360,OAK STREET
361,OAKLEY AVENUE EAST
362,OAKLEY AVENUE NORTH
363,OGDEN AVENUE
364,OGDEN AVENUE
365,OLD LAGOON OUTFALL
366,OLD LAWNDALE AVENUE
367,ONSITE TRTMNT(OVER 8 MGD)
368,ORLEANS STREET NORTH
369,PALMER AVENUE
370,PARK ACRES SUBDIVISION
371,PARK AVENUE
372,PARK AVENUE NORTH
373,PARK BOULEVARD
374,PARNELL AVENUE NORTH
375,PAULINA STREET NORTH
376,PENSACOLA AVE. ALLEY EAST
377,PEORIA AVENUE NORTH
378,PETERSON AVENUE EAST
379,PETERSON AVENUE WEST
380,PETERSON AVENUE WEST
381,PIERCE (003A)
382,POLK STREET EAST
383,POLK STREET WEST
384,PRAIRIE AVENUE & RIVER RD
385,PRAIRIE ST. BASIN OVERFLOW
386,PRAIRIE STREET BASIN
387,PRATT AVENUE
388,PRATT AVENUE EAST
389,PULASKI ROAD
390,PULASKI ROAD NORTH
391,PULASKI ROAD SOUTH
392,PUMP STATN #31-WLLNGTN AVE
393,QUINCY STREET EAST
394,RACINE AVENUE NORTH
395,RAND ROAD
396,RANDOLPH STREET EAST
397,RATHBONE
398,RICE STREET
399,RICHARDS STREET CHAMBER
400,RIVER CROSSING OVERFLOW
401,RIVER DRIVE
402,RIVERSIDE & HIGHLAND AVE
403,ROBINSON ROAD
404,ROCKWELL STREET NORTH
405,ROOSEVELT ROAD
406,ROOSEVELT ROAD
407,ROOSEVELT ROAD
408,ROOSEVELT ROAD EAST
409,ROOSEVELT ROAD WEST
410,ROSCOE STREET WEST
411,RUSH ST. NORTH
412,SACRAMENTO
413,SCHOOL STREET (EXTENDED)
414,SECOND AVENUE CHAMBER
415,SECOND STREET
416,SENOUR AVENUE SOUTH
417,SHERIDAN ROAD
418,SHERIDAN ROAD
419,"SIBLEY AVE (E) 84"""
420,SIBLEY AVENUE
421,SOUTH ELGIN BASIN
422,SOUTH PARK AVE-NORTH BANK
423,SOUTH PARK AVE-SOUTH BANK
424,SOUTHVIEW AVENUE
425,ST. CHARLES & MONTEREY
426,ST. CHARLES ROAD
427,ST. CLAIR STREET NORTH
428,STANLEY BOULEVARD
429,STATE STREET
430,STATE STREET SOUTH
431,STEPHEN STREET
432,STEPHEN STREET
433,STEWART AVENUE SOUTH
434,STOLP
435,STONE STREET CHAMBER-WEST
436,SUNNYSIDE AVENUE EAST
437,SUNNYSIDE AVENUE WEST
438,SUPERIOR
439,TAYLOR STREET EAST
440,TAYLOR STREET WEST
441,THIRD
442,THIRD AVENUE CHAMBER EAST
443,THORNDALE AVENUE WEST
444,THROOP STREET
445,THROOP STREET NORTH
446,THROOP STREET NORTH
447,THROOP STREET SOUTH
448,TORRENCE AVENUE NORTH
449,TORRENCE AVENUE NORTH
450,"TOUHY AVE (E) 96"""
451,TOUHY AVENUE
452,TOUHY AVENUE EAST
453,TRASK-DEARBORN
454,TRI-STATE TOLLWAY
455,TROY STREET SOUTH
456,TRUMBULL AVENUE NORTH
457,UNION AVENUE NORTH
458,UNION AVENUE PUMP STATION
459,UNION STREET
460,VAN BUREN STREET CHAMBER
461,VAN BUREN STREET EAST
462,WABASH AVE. SOUTH
463,WALLACE STREET CHAMBER
464,WALLACE STREET SOUTH
465,WALNUT AVE. BASIN OVERFLOW
466,WALNUT AVENUE BASIN
467,WALNUT STREET
468,WASHINGTON STREET CHAMBER
469,WASHINGTON STREET EAST
470,WASHINGTON STREET WEST
471,WEBSTER AVENUE EAST
472,WELLINGTON AVENUE BASIN
473,WELLINGTON AVENUE BYPASS
474,WELLS STREET NORTH
475,WELLS STREET SOUTH
476,WENTWORTH AVENUE NORTH
477,WEST BENTON
478,WEST GALENA
479,WEST ILLINOIS
480,WEST PARK (FORMERLY ELM)
481,WESTCHESTER PUMP STATION
482,WESTERN AVENUE
483,WESTERN AVENUE EAST
484,WESTERN AVENUE SOUTH
485,WHITNEY STREET CHAMBER
486,WILDWOOD
487,WILDWOOD AVENUE EAST
488,WILSON AVENUE EAST
489,WILSON AVENUE EAST
490,WILSON AVENUE WEST
491,WOOD STREET NORTH
492,WOODLAWN & EDGEWOOD
493,WOODLAWN & EDGEWOOD
494,WOODVIEW AVENUE
495,WRP TARP BYPASS
